Campaign Name,Ad Group Name,Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree Online,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree Online,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree Online,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree Online,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design BA Online,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design BA Online,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design BA Online,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design BA Online,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design BA Online,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Best Interior Design Uni,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Best Interior Design Uni,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Best Interior Design Uni,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Best Interior Design Uni,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Best Interior Design Uni,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Best Interior Design Uni,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design University,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design University,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design University,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
